Order_Date,Order_Priority,Ord_id
10/10/13,LOW,Ord_1
12/01/10,HIGH,Ord_2
11/10/07,HIGH,Ord_3
10/08/28,NOT SPECIFIED,Ord_4
11/06/17,HIGH,Ord_5
11/03/24,HIGH,Ord_6
10/02/26,LOW,Ord_7
10/11/23,MEDIUM,Ord_8
12/08/06,NOT SPECIFIED,Ord_9
12/04/08,NOT SPECIFIED,Ord_10
11/05/30,MEDIUM,Ord_11
09/11/25,NOT SPECIFIED,Ord_12
12/02/14,CRITICAL,Ord_13
12/04/15,LOW,Ord_14
10/12/03,NOT SPECIFIED,Ord_15
11/09/03,LOW,Ord_16
12/04/08,HIGH,Ord_17
11/06/05,HIGH,Ord_18
10/12/23,HIGH,Ord_19
10/08/11,LOW,Ord_20
12/10/21,NOT SPECIFIED,Ord_21
11/01/01,NOT SPECIFIED,Ord_22
11/10/10,HIGH,Ord_23
10/09/23,LOW,Ord_24
11/07/19,CRITICAL,Ord_25
09/09/10,HIGH,Ord_26
10/09/12,NOT SPECIFIED,Ord_27
12/08/10,CRITICAL,Ord_28
12/02/05,HIGH,Ord_29
10/08/03,MEDIUM,Ord_30
11/05/28,NOT SPECIFIED,Ord_31
10/09/19,MEDIUM,Ord_32
11/08/31,HIGH,Ord_33
11/08/07,NOT SPECIFIED,Ord_34
09/01/30,CRITICAL,Ord_35
12/08/01,LOW,Ord_36
10/07/11,CRITICAL,Ord_37
10/04/29,NOT SPECIFIED,Ord_38
11/12/31,NOT SPECIFIED,Ord_39
09/12/08,HIGH,Ord_40
11/12/11,LOW,Ord_41
12/01/20,HIGH,Ord_42
09/03/20,MEDIUM,Ord_43
12/07/21,LOW,Ord_44
12/12/06,CRITICAL,Ord_45
09/01/15,LOW,Ord_46
10/04/06,LOW,Ord_47
10/02/18,NOT SPECIFIED,Ord_48
11/11/16,NOT SPECIFIED,Ord_49
11/07/08,LOW,Ord_50
10/08/06,MEDIUM,Ord_51
09/10/17,MEDIUM,Ord_52
11/08/28,HIGH,Ord_53
11/09/29,CRITICAL,Ord_54
12/04/05,LOW,Ord_55
11/05/17,HIGH,Ord_56
09/11/17,MEDIUM,Ord_57
11/10/10,NOT SPECIFIED,Ord_58
12/07/10,NOT SPECIFIED,Ord_59
11/08/13,MEDIUM,Ord_60
11/08/16,HIGH,Ord_61
09/04/03,LOW,Ord_62
09/08/18,CRITICAL,Ord_63
10/11/16,NOT SPECIFIED,Ord_64
11/05/27,LOW,Ord_65
10/08/23,NOT SPECIFIED,Ord_66
11/08/19,NOT SPECIFIED,Ord_67
12/03/01,MEDIUM,Ord_68
12/11/29,HIGH,Ord_69
12/03/17,MEDIUM,Ord_70
10/12/04,LOW,Ord_71
10/08/24,HIGH,Ord_72
11/04/07,HIGH,Ord_73
10/10/11,CRITICAL,Ord_74
10/06/24,CRITICAL,Ord_75
12/09/19,MEDIUM,Ord_76
11/12/24,LOW,Ord_77
12/03/23,MEDIUM,Ord_78
11/10/15,CRITICAL,Ord_79
10/07/08,CRITICAL,Ord_80
09/03/03,LOW,Ord_81
10/09/02,LOW,Ord_82
09/01/17,CRITICAL,Ord_83
10/08/30,CRITICAL,Ord_84
09/11/09,HIGH,Ord_85
09/07/16,NOT SPECIFIED,Ord_86
12/11/15,LOW,Ord_87
11/10/09,LOW,Ord_88
11/10/04,NOT SPECIFIED,Ord_89
11/09/10,HIGH,Ord_90
12/10/23,CRITICAL,Ord_91
12/08/01,LOW,Ord_92
10/01/25,NOT SPECIFIED,Ord_93
11/01/27,NOT SPECIFIED,Ord_94
09/08/27,HIGH,Ord_95
11/03/17,CRITICAL,Ord_96
12/06/06,CRITICAL,Ord_97
11/11/04,HIGH,Ord_98
12/06/11,LOW,Ord_99
12/05/16,HIGH,Ord_100
12/09/04,NOT SPECIFIED,Ord_101
12/05/08,MEDIUM,Ord_102
09/07/22,NOT SPECIFIED,Ord_103
10/09/05,NOT SPECIFIED,Ord_104
09/02/18,NOT SPECIFIED,Ord_105
12/06/27,HIGH,Ord_106
10/09/30,MEDIUM,Ord_107
10/04/15,CRITICAL,Ord_108
11/09/14,NOT SPECIFIED,Ord_109
10/09/21,HIGH,Ord_110
10/08/17,NOT SPECIFIED,Ord_111
09/09/16,LOW,Ord_112
09/06/22,HIGH,Ord_113
12/08/28,NOT SPECIFIED,Ord_114
11/07/06,CRITICAL,Ord_115
09/09/10,NOT SPECIFIED,Ord_116
10/05/12,NOT SPECIFIED,Ord_117
09/07/06,LOW,Ord_118
09/07/27,CRITICAL,Ord_119
11/05/09,LOW,Ord_120
09/11/01,HIGH,Ord_121
10/08/15,MEDIUM,Ord_122
09/05/08,NOT SPECIFIED,Ord_123
11/09/17,MEDIUM,Ord_124
11/10/22,LOW,Ord_125
09/11/14,MEDIUM,Ord_126
10/03/07,MEDIUM,Ord_127
09/01/30,LOW,Ord_128
12/03/15,NOT SPECIFIED,Ord_129
09/10/08,LOW,Ord_130
10/01/04,LOW,Ord_131
10/07/31,HIGH,Ord_132
09/05/29,LOW,Ord_133
10/11/10,HIGH,Ord_134
10/05/18,HIGH,Ord_135
11/08/02,CRITICAL,Ord_136
10/07/12,CRITICAL,Ord_137
09/06/01,CRITICAL,Ord_138
12/12/03,CRITICAL,Ord_139
10/08/26,LOW,Ord_140
11/06/20,HIGH,Ord_141
10/04/08,HIGH,Ord_142
10/11/23,HIGH,Ord_143
09/02/08,NOT SPECIFIED,Ord_144
11/10/08,CRITICAL,Ord_145
10/06/05,CRITICAL,Ord_146
12/06/28,LOW,Ord_147
11/03/23,MEDIUM,Ord_148
11/11/19,CRITICAL,Ord_149
12/11/26,LOW,Ord_150
10/07/29,NOT SPECIFIED,Ord_151
12/12/05,LOW,Ord_152
12/03/03,HIGH,Ord_153
10/08/20,HIGH,Ord_154
10/06/27,NOT SPECIFIED,Ord_155
12/10/29,CRITICAL,Ord_156
10/01/16,NOT SPECIFIED,Ord_157
12/06/29,LOW,Ord_158
11/08/08,NOT SPECIFIED,Ord_159
10/02/21,MEDIUM,Ord_160
11/06/20,MEDIUM,Ord_161
09/04/09,CRITICAL,Ord_162
09/06/21,NOT SPECIFIED,Ord_163
12/08/02,CRITICAL,Ord_164
09/11/03,HIGH,Ord_165
11/04/06,LOW,Ord_166
12/02/03,LOW,Ord_167
11/12/08,MEDIUM,Ord_168
09/01/09,CRITICAL,Ord_169
10/01/26,CRITICAL,Ord_170
11/02/09,CRITICAL,Ord_171
12/07/02,CRITICAL,Ord_172
11/03/19,CRITICAL,Ord_173
11/08/05,NOT SPECIFIED,Ord_174
09/09/25,CRITICAL,Ord_175
12/09/07,NOT SPECIFIED,Ord_176
10/01/14,HIGH,Ord_177
09/08/26,HIGH,Ord_178
09/08/10,CRITICAL,Ord_179
11/10/11,HIGH,Ord_180
12/04/15,HIGH,Ord_181
12/02/01,MEDIUM,Ord_182
11/08/03,NOT SPECIFIED,Ord_183
09/02/07,HIGH,Ord_184
11/04/15,CRITICAL,Ord_185
11/11/25,HIGH,Ord_186
12/04/25,CRITICAL,Ord_187
